3.2179 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
98.0366 	EXP 	New trial (rep=38, index=0): None
98.0390 	DATA 	Keypress: up
98.0483 	EXP 	Fixation: autoDraw = False
98.0483 	EXP 	grating: autoDraw = False
98.0483 	EXP 	grating: ori = -2.0
98.0483 	EXP 	Fixation: autoDraw = True
99.0482 	EXP 	Fixation: autoDraw = False
99.0482 	EXP 	grating: autoDraw = True
99.3482 	EXP 	grating: autoDraw = False
99.8020 	EXP 	New trial (rep=39, index=0): None
99.8056 	DATA 	Keypress: down
99.8150 	EXP 	Fixation: autoDraw = False
99.8150 	EXP 	grating: autoDraw = False
99.8150 	EXP 	grating: ori = 0.0
99.8150 	EXP 	Fixation: autoDraw = True
100.8149 	EXP 	Fixation: autoDraw = False
100.8149 	EXP 	grating: autoDraw = True
101.1149 	EXP 	grating: autoDraw = False
101.6506 	DATA 	Keypress: up
101.6686 	EXP 	New trial (rep=40, index=0): None
101.6814 	EXP 	Fixation: autoDraw = False
101.6814 	EXP 	grating: autoDraw = False
101.6814 	EXP 	grating: ori = -3.0
101.6814 	EXP 	Fixation: autoDraw = True
102.6814 	EXP 	Fixation: autoDraw = False
102.6814 	EXP 	grating: autoDraw = True
102.9814 	EXP 	grating: autoDraw = False
103.2506 	DATA 	Keypress: down
103.2687 	EXP 	New trial (rep=41, index=0): None
103.2813 	EXP 	Fixation: autoDraw = False
103.2813 	EXP 	grating: autoDraw = False
103.2813 	EXP 	grating: ori = 0.0
103.2813 	EXP 	Fixation: autoDraw = True
104.2814 	EXP 	Fixation: autoDraw = False
104.2814 	EXP 	grating: autoDraw = True
104.5814 	EXP 	grating: autoDraw = False
105.1524 	EXP 	New trial (rep=42, index=0): None
105.1547 	DATA 	Keypress: up
105.1649 	EXP 	Fixation: autoDraw = False
105.1649 	EXP 	grating: autoDraw = False
105.1649 	EXP 	grating: ori = 0.0
105.1649 	EXP 	Fixation: autoDraw = True
106.1647 	EXP 	Fixation: autoDraw = False
106.1647 	EXP 	grating: autoDraw = True
106.4646 	EXP 	grating: autoDraw = False
107.1349 	EXP 	New trial (rep=43, index=0): None
107.1372 	DATA 	Keypress: down
107.1481 	EXP 	Fixation: autoDraw = False
107.1481 	EXP 	grating: autoDraw = False
107.1481 	EXP 	grating: ori = -5.0
107.1481 	EXP 	Fixation: autoDraw = True
108.1482 	EXP 	Fixation: autoDraw = False
108.1482 	EXP 	grating: autoDraw = True
108.4481 	EXP 	grating: autoDraw = False
109.1001 	DATA 	Keypress: down
109.1182 	EXP 	New trial (rep=44, index=0): None
109.1314 	EXP 	Fixation: autoDraw = False
109.1314 	EXP 	grating: autoDraw = False
109.1314 	EXP 	grating: ori = 4.0
109.1314 	EXP 	Fixation: autoDraw = True
110.1313 	EXP 	Fixation: autoDraw = False
110.1313 	EXP 	grating: autoDraw = True
110.4312 	EXP 	grating: autoDraw = False
111.0349 	EXP 	New trial (rep=45, index=0): None
111.0373 	DATA 	Keypress: down
111.0480 	EXP 	Fixation: autoDraw = False
111.0480 	EXP 	grating: autoDraw = False
111.0480 	EXP 	grating: ori = 1.0
111.0480 	EXP 	Fixation: autoDraw = True
112.0479 	EXP 	Fixation: autoDraw = False
112.0479 	EXP 	grating: autoDraw = True
112.3477 	EXP 	grating: autoDraw = False
112.8182 	EXP 	New trial (rep=46, index=0): None
112.8205 	DATA 	Keypress: up
112.8311 	EXP 	Fixation: autoDraw = False
112.8311 	EXP 	grating: autoDraw = False
112.8311 	EXP 	grating: ori = -5.0
112.8311 	EXP 	Fixation: autoDraw = True
113.8312 	EXP 	Fixation: autoDraw = False
113.8312 	EXP 	grating: autoDraw = True
114.1310 	EXP 	grating: autoDraw = False
114.5019 	EXP 	New trial (rep=47, index=0): None
114.5039 	DATA 	Keypress: down
114.5144 	EXP 	Fixation: autoDraw = False
114.5144 	EXP 	grating: autoDraw = False
114.5144 	EXP 	grating: ori = 0.0
114.5144 	EXP 	Fixation: autoDraw = True
115.5144 	EXP 	Fixation: autoDraw = False
115.5144 	EXP 	grating: autoDraw = True
115.8143 	EXP 	grating: autoDraw = False
116.4826 	EXP 	New trial (rep=48, index=0): None
116.4840 	DATA 	Keypress: up
116.4975 	EXP 	Fixation: autoDraw = False
116.4975 	EXP 	grating: autoDraw = False
116.4975 	EXP 	grating: ori = 0.0
116.4975 	EXP 	Fixation: autoDraw = True
117.4976 	EXP 	Fixation: autoDraw = False
117.4976 	EXP 	grating: autoDraw = True
117.7977 	EXP 	grating: autoDraw = False
118.4352 	EXP 	New trial (rep=49, index=0): None
118.4378 	DATA 	Keypress: up
118.4477 	EXP 	Fixation: autoDraw = False
118.4477 	EXP 	grating: autoDraw = False
118.4477 	EXP 	grating: ori = 0.0
118.4477 	EXP 	Fixation: autoDraw = True
119.4479 	EXP 	Fixation: autoDraw = False
119.4479 	EXP 	grating: autoDraw = True
119.7477 	EXP 	grating: autoDraw = False
120.0190 	EXP 	New trial (rep=50, index=0): None
120.0206 	DATA 	Keypress: down
120.0309 	EXP 	Fixation: autoDraw = False
120.0309 	EXP 	grating: autoDraw = False
120.0309 	EXP 	grating: ori = 0.0
120.0309 	EXP 	Fixation: autoDraw = True
121.0308 	EXP 	Fixation: autoDraw = False
121.0308 	EXP 	grating: autoDraw = True
121.3308 	EXP 	grating: autoDraw = False
121.6511 	EXP 	New trial (rep=51, index=0): None
121.6535 	DATA 	Keypress: up
121.6641 	EXP 	Fixation: autoDraw = False
121.6641 	EXP 	grating: autoDraw = False
121.6641 	EXP 	grating: ori = 0.0
121.6641 	EXP 	Fixation: autoDraw = True
122.6642 	EXP 	Fixation: autoDraw = False
122.6642 	EXP 	grating: autoDraw = True
122.9640 	EXP 	grating: autoDraw = False
123.5989 	EXP 	New trial (rep=52, index=0): None
123.6004 	DATA 	Keypress: up
123.6138 	EXP 	Fixation: autoDraw = False
123.6138 	EXP 	grating: autoDraw = False
123.6138 	EXP 	grating: ori = -2.0
123.6138 	EXP 	Fixation: autoDraw = True
124.6140 	EXP 	Fixation: autoDraw = False
124.6140 	EXP 	grating: autoDraw = True
124.9140 	EXP 	grating: autoDraw = False
125.4165 	DATA 	Keypress: down
125.4352 	EXP 	New trial (rep=53, index=0): None
125.4473 	EXP 	Fixation: autoDraw = False
125.4473 	EXP 	grating: autoDraw = False
125.4473 	EXP 	grating: ori = -4.0
125.4473 	EXP 	Fixation: autoDraw = True
126.4473 	EXP 	Fixation: autoDraw = False
126.4473 	EXP 	grating: autoDraw = True
126.7473 	EXP 	grating: autoDraw = False
127.2009 	EXP 	New trial (rep=54, index=0): None
127.2032 	DATA 	Keypress: down
127.2138 	EXP 	Fixation: autoDraw = False
127.2138 	EXP 	grating: autoDraw = False
127.2138 	EXP 	grating: ori = 0.0
127.2138 	EXP 	Fixation: autoDraw = True
128.2138 	EXP 	Fixation: autoDraw = False
128.2138 	EXP 	grating: autoDraw = True
128.5136 	EXP 	grating: autoDraw = False
129.4496 	EXP 	New trial (rep=55, index=0): None
129.4514 	DATA 	Keypress: down
129.4635 	EXP 	Fixation: autoDraw = False
129.4635 	EXP 	grating: autoDraw = False
129.4635 	EXP 	grating: ori = -5.0
129.4635 	EXP 	Fixation: autoDraw = True
130.4636 	EXP 	Fixation: autoDraw = False
130.4636 	EXP 	grating: autoDraw = True
130.7636 	EXP 	grating: autoDraw = False
131.2508 	EXP 	New trial (rep=56, index=0): None
131.2529 	DATA 	Keypress: down
131.2637 	EXP 	Fixation: autoDraw = False
131.2637 	EXP 	grating: autoDraw = False
131.2637 	EXP 	grating: ori = -5.0
131.2637 	EXP 	Fixation: autoDraw = True
132.2637 	EXP 	Fixation: autoDraw = False
132.2637 	EXP 	grating: autoDraw = True
132.5636 	EXP 	grating: autoDraw = False
133.0492 	EXP 	New trial (rep=57, index=0): None
133.0506 	DATA 	Keypress: down
133.0635 	EXP 	Fixation: autoDraw = False
133.0635 	EXP 	grating: autoDraw = False
133.0635 	EXP 	grating: ori = 0.0
133.0635 	EXP 	Fixation: autoDraw = True
134.0636 	EXP 	Fixation: autoDraw = False
134.0636 	EXP 	grating: autoDraw = True
134.3634 	EXP 	grating: autoDraw = False
134.9319 	EXP 	New trial (rep=58, index=0): None
134.9331 	DATA 	Keypress: up
134.9465 	EXP 	Fixation: autoDraw = False
134.9465 	EXP 	grating: autoDraw = False
134.9465 	EXP 	grating: ori = 0.0
134.9465 	EXP 	Fixation: autoDraw = True
135.9470 	EXP 	Fixation: autoDraw = False
135.9470 	EXP 	grating: autoDraw = True
136.2469 	EXP 	grating: autoDraw = False
136.7842 	EXP 	New trial (rep=59, index=0): None
136.7862 	DATA 	Keypress: up
136.7969 	EXP 	Fixation: autoDraw = False
136.7969 	EXP 	grating: autoDraw = False
136.7969 	EXP 	grating: ori = 0.0
136.7969 	EXP 	Fixation: autoDraw = True
137.7966 	EXP 	Fixation: autoDraw = False
137.7966 	EXP 	grating: autoDraw = True
138.0965 	EXP 	grating: autoDraw = False
138.4490 	EXP 	New trial (rep=60, index=0): None
138.4504 	DATA 	Keypress: up
